Username,Followers,Following,Public_Repos,Location,Profile_URL,similarity
abhay,0.0056974763895339,0.0001896453631708,0.0238772029562251,"San Francisco, CA",https://github.com/abhay,1.0
gojomo,0.0042111782009599,0.0001896453631708,0.0176236498010233,San Francisco,https://github.com/gojomo,0.9999961951690265
andycroll,0.0039015327450069,0.0,0.0164866401364411,"Brighton, UK",https://github.com/andycroll,0.999968424361712
martinjandrews,0.0012385818238117,0.0,0.0051165434906196,"Melbourne, Australia",https://github.com/martinjandrews,0.9999648144944159
AArnott,0.0390462919956649,0.0015171629053669,0.1574758385446276,"Longmont, CO ",https://github.com/AArnott,0.9999598427481565
